date,time,lat,lng
2017-07-18,13230,21.1938055,105.7691922
2017-07-18,13250,21.1933371,105.7685928
2017-07-18,13270,21.192327,105.7676375
2017-07-18,13290,21.191521,105.7668762
2017-07-18,13310,21.1914528,105.7668058
2017-07-18,13330,21.1914528,105.7668058
2017-07-18,13350,21.1914528,105.7668058
2017-07-18,13370,21.1914528,105.7668058
2017-07-18,13390,21.1914528,105.7668058
2017-07-18,13410,21.1914528,105.7668058
2017-07-18,13430,21.1914528,105.7668058
2017-07-18,13450,21.1914528,105.7668058
2017-07-18,13470,21.1914528,105.7668058
2017-07-18,13490,21.1914528,105.7668058
2017-07-18,13510,21.1914528,105.7668058
2017-07-18,13530,21.1914528,105.7668058
2017-07-18,13550,21.1914528,105.7668058
2017-07-18,13570,21.1914528,105.7668058
2017-07-18,13590,21.1914528,105.7668058
2017-07-18,13611,21.1914528,105.7668058
2017-07-18,13631,21.1914528,105.7668058
2017-07-18,13651,21.1914528,105.7668058
2017-07-18,13671,21.1914528,105.7668058
2017-07-18,13691,21.1914528,105.7668058
2017-07-18,13711,21.1914528,105.7668058
2017-07-18,13731,21.1914528,105.7668058
2017-07-18,13751,21.1914528,105.7668058
2017-07-18,13771,21.1914528,105.7668058
2017-07-18,13791,21.1914528,105.7668058
2017-07-18,13811,21.1914528,105.7668058
2017-07-18,13831,21.1914528,105.7668058
2017-07-18,13851,21.1914528,105.7668058
2017-07-18,13871,21.1914528,105.7668058
2017-07-18,13891,21.1914528,105.7668058
2017-07-18,13911,21.1914528,105.7668058
2017-07-18,13931,21.1914528,105.7668058
2017-07-18,13951,21.1914528,105.7668058
2017-07-18,13971,21.1914528,105.7668058
2017-07-18,13991,21.1914528,105.7668058
2017-07-18,14011,21.1914528,105.7668058
2017-07-18,14031,21.1914528,105.7668058
2017-07-18,14051,21.1914528,105.7668058
2017-07-18,14071,21.1914528,105.7668058
2017-07-18,14091,21.1914528,105.7668058
2017-07-18,14111,21.1914528,105.7668058
2017-07-18,14131,21.1914528,105.7668058
2017-07-18,14151,21.1914528,105.7668058
2017-07-18,14171,21.1914528,105.7668058
2017-07-18,14191,21.1914528,105.7668058
2017-07-18,14211,21.1914528,105.7668058
2017-07-18,14231,21.1914528,105.7668058
2017-07-18,14251,21.1914528,105.7668058
